Character,Alt Mode,Team,Class,Series,Edition,Maker,Country,SKU,Packaging,Date,Images,Ebay $old,4 $ale,Ebay $
"Vader, Prime, Skywalker, and Megs",Unavailable,Star Wars,Figure Game,Attacktix,Intergalactic Showdown,Hasbro,China,53569 15769,Sealed in Box,2006,Unavailable,65.97,104.99,58.873333333333335
Autobot Ark,Teletraan,Autobot,Titan Class,Kingdom War For Cybertron,WFC-K30,Hasbro,Vietnam,10993782536,Sealed Box  (some wear),2021,Unavailable,174.0,174.0,175.735
Dinobots,Dinosaurs,Autobot,Deluxe Class,Deluxe Collectible,7439850000,Hasbro,China,305242665,Sealed in Box,2013,Unavailable,Unavailable,Unavailable,Unavailable
Aerialbots (Superion),Jets,Autobot,Combiner,Combiner Wars ,V-2976B,Hasbro,Vietnam,PN 7527620001,Sealed in Box,Unavailable,Unavailable,239.99,325.0,303.2925
Skylynx,Shuttle,Autobot,Leader Class,SPECIAL ENCORE,07,Takara Tomy,China,904810 785903,Open in Box,2007,Unavailable,102.5,140.0,135.6225
Metroplex,Construction Crane,Autobot,Titan Class,Legacy,Cybertron Universe,Hasbro,Vietnam,010994 112578,Sealed in Box,2022,Unavailable,112.5,188.05,145.1325
Refraktor Recon Team ,Camera,Decepticon,Deluxe Class,Siege,E5799,Hasbro,Vietnam,30509 82522,Sealed in Box,2018,Unavailable,Unavailable,Unavailable,Unavailable
Jenga Tower Game,Jenga Tower,Unavailable,Family Game,Revenge of the Fallen,C-233B,Hasbro,China,S 653569460343,Sealed in Box,2013,Unavailable,23.98,24.84,23.98
SCF Generation One,Unavailable,Unavailable,Figures,ACT-6,Generation One,Takara Tomy,China,490880 530458,Open in Box,2010,Unavailable,Unavailable,Unavailable,Unavailable
Jetfire,Jet,Autobot,Voyager Class,Tianium Series,33911/33990,Galoob,China,653569 172031,Sealed in Box,2006,Unavailable,65.0,67.0,56.8
"Micro Shutter, Finder and Winder",Camera Robo,Micro Man,Core Class,Mico Change Series,T-305,Toong TZY Toys,Taiwan,Unavailable,Sealed in Box,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Dark Commander,Mechanical Alliance,Decepticon,Die Cast,Deformation Toys Series,YS-04 (Metal Version),Deformation Toys,China,6973641 240033,Sealed in Box,Unknown,Unavailable,27.45,44.2,44.435
Optimus Prime,Unavailable,Autobot,Figure ,Mecha Nations,01,Kids Logic,China,4897034 453768,Repaired in Box,Unavailable,Unavailable,179.97,110.5,148.935
Starscream (GL),Jet,Decepticon,Deluxe Class,TF 35,Golden Lagoon,Takara Tomy,Vietnam,4904810 614623,Sealed in Box,Unavailable,Unavailable,58.45,190.0,60.26666666666667
"BeachComber, Perceptor & Seaspray (GL)","Buggy, Scope & Craft",Autobot,Deluxe Class,TF 35,Golden Lagoon,Takara Tomy,Vietnam,4904810 614616,Sealed in Box,Unavailable,Unavailable,75.45,139.99,105.095
Optimus Prime - Convoy (GL),Truck,Autobot,Deluxe Class,TF 35,Golden Lagoon,Takara Tomy,Vietnam,4904810 613558,Sealed in Box,Unavailable,Unavailable,125.46,213.89,156.26666666666665
Trainbot Shouki,Train,Autobot,Masterpiece,Trainbots ,MPG-01,Takara Tomy,Vietnam,4904810 140474,Sealed in Box,Unavailable,Unavailable,130.0,179.95,157.4725
Skywarp & Thundercracker,Jets,Decepticon,Earthrise,Cybertronian Villans,WFC-E29,Hasbro,Vietnam,X0032KZ3F3,Sealed in Box,Unavailable,Unavailable,99.36,183.51,145.73749999999998
